name,Company,Car,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,selling_price
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2014,145500,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,450000
Skoda Rapid 1.5 TDI Ambition,Skoda,Skoda Rapid 1.5,2014,120000,Diesel,Individual,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5,370000
Honda City 2017-2020 EXi,Honda,Honda City 2017-2020,2006,140000,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,158000
Hyundai i20 Sportz Diesel,Hyundai,Hyundai i20 Sportz,2010,127000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,225000
Maruti Swift VXI BSIII,Maruti,Maruti Swift VXI,2007,120000,Petrol,Individual,Manual,First Owner,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5,130000
Hyundai Xcent 1.2 VTVT E Plus,Hyundai,Hyundai Xcent 1.2,2017,45000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,440000
Maruti Wagon R LXI DUO BSIII,Maruti,Maruti Wagon R,2007,175000,LPG,Individual,Manual,First Owner,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5,96000
Maruti 800 DX BSII,Maruti,Maruti 800 DX,2001,5000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,45000
Toyota Etios VXD,Toyota,Toyota Etios VXD,2011,90000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5,350000
Ford Figo Diesel Celebration Edition,Ford,Ford Figo Diesel,2013,169000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5,200000
Renault Duster 110PS Diesel RxL,Renault,Renault Duster 110PS,2014,68000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5,500000
Maruti Zen LX,Maruti,Maruti Zen LX,2005,100000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,92000
Maruti Swift Dzire VDi,Maruti,Maruti Swift Dzire,2009,140000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,280000
Maruti Swift 1.3 VXi,Maruti,Maruti Swift 1.3,2007,80000,Petrol,Individual,Manual,Second Owner,,,,,,200000
Maruti Wagon R LXI Minor,Maruti,Maruti Wagon R,2009,90000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,180000
Mahindra KUV 100 mFALCON G80 K8 5str,Mahindra,Mahindra KUV 100,2016,40000,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,5,400000
Maruti Ertiga SHVS VDI,Maruti,Maruti Ertiga SHVS,2016,70000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,778000
Hyundai i20 1.4 CRDi Asta,Hyundai,Hyundai i20 1.4,2012,53000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,500000
Maruti Alto LX,Maruti,Maruti Alto LX,2002,80000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,150000
Hyundai i20 2015-2017 Asta 1.4 CRDi,Hyundai,Hyundai i20 2015-2017,2016,100000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,680000
Mahindra Verito 1.5 D4 BSIII,Mahindra,Mahindra Verito 1.5,2011,100000,Diesel,Individual,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5,174000
Honda WR-V i-DTEC VX,Honda,Honda WR-V i-DTEC,2017,50000,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,950000
Maruti Swift Dzire ZDI,Maruti,Maruti Swift Dzire,2015,40000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,525000
Maruti SX4 ZDI,Maruti,Maruti SX4 ZDI,2012,72000,Diesel,Individual,Manual,First Owner,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5,600000
Tata Tigor 2017-2020 XZ,Tata,Tata Tigor 2017-2020,2018,35000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,83.81 bhp,114Nm@ 3500rpm,5,500000
Maruti Baleno Delta 1.2,Maruti,Maruti Baleno Delta,2016,45000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,575000
Maruti Alto 800 LXI,Maruti,Maruti Alto 800,2017,28000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,275000
Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,Chevrolet Enjoy TCDi,2013,70000,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7,300000
Maruti Wagon R LXI Minor,Maruti,Maruti Wagon R,2009,120000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,220000
Maruti Omni E MPI STD BS IV,Maruti,Maruti Omni E,2018,25000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8,254999
Maruti Vitara Brezza LDi Option,Maruti,Maruti Vitara Brezza,2017,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,670000
Fiat Palio 1.2 ELX,Fiat,Fiat Palio 1.2,2003,50000,Petrol,Individual,Manual,Second Owner,,,,,,70000
Maruti Omni 8 Seater BSIV,Maruti,Maruti Omni 8,2012,35000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5,150000
Hyundai i20 1.2 Asta Dual Tone,Hyundai,Hyundai i20 1.2,2018,2388,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,730000
Maruti Vitara Brezza LDi,Maruti,Maruti Vitara Brezza,2017,16200,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,650000
Maruti Alto 800 CNG LXI Optional,Maruti,Maruti Alto 800,2019,10000,CNG,Individual,Manual,Second Owner,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3500rpm,4,330000
Maruti Alto K10 VXI Airbag,Maruti,Maruti Alto K10,2019,15000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,366000
Hyundai Verna VTVT 1.6 SX Option,Hyundai,Hyundai Verna VTVT,2019,5000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5,1149000
Datsun GO D,Datsun,Datsun GO D,2016,42000,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5,150000
Tata Safari DICOR 2.2 LX 4x2,Tata,Tata Safari DICOR,2011,60000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7,425000
Maruti 800 Std,Maruti,Maruti 800 Std,2012,76000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,150000
Jeep Compass 1.4 Limited Plus BSIV,Jeep,Jeep Compass 1.4,2019,5000,Petrol,Individual,Automatic,First Owner,16.0 kmpl,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5,2100000
Honda City i VTEC VX,Honda,Honda City i,2018,28900,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5,925000
Honda City V MT,Honda,Honda City V,2013,86300,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5,425000
Maruti Swift Dzire VXi AT,Maruti,Maruti Swift Dzire,2018,23300,Petrol,Dealer,Automatic,First Owner,18.5 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,675000
Maruti Vitara Brezza VDi,Maruti,Maruti Vitara Brezza,2018,32600,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,819999
Maruti Alto K10 VXI,Maruti,Maruti Alto K10,2018,10300,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,390000
Toyota Fortuner 4x4 MT,Toyota,Toyota Fortuner 4x4,2014,77000,Diesel,Dealer,Manual,First Owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,1500000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Toyota Innova 2.5,2013,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7,700000
Mercedes-Benz B Class B180,Mercedes-Benz,Mercedes-Benz B Class,2014,27800,Diesel,Dealer,Automatic,Second Owner,14.8 kmpl,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm,5,1450000
Honda Amaze S Diesel,Honda,Honda Amaze S,2015,49800,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm,5,425000
Mitsubishi Pajero Sport 4X4,Mitsubishi,Mitsubishi Pajero Sport,2013,151000,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7,1090000
Honda City i DTEC S,Honda,Honda City i,2015,54700,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,600000
Maruti Ciaz Zeta,Maruti,Maruti Ciaz Zeta,2018,64000,Petrol,Dealer,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,138Nm@ 4400rpm,5,850000
Honda Jazz VX Diesel,Honda,Honda Jazz VX,2015,63000,Diesel,Dealer,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,525000
Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,Toyota Innova Crysta,2016,127700,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7,1650000
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,Toyota Innova 2.5,2016,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,950000
Audi A6 2.0 TDI Technology,Audi,Audi A6 2,2013,33900,Diesel,Dealer,Automatic,Second Owner,17.68 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5,1750000
Toyota Corolla Altis 1.8 VL CVT,Toyota,Toyota Corolla Altis,2018,25000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5,1590000
Audi A6 2.0 TDI  Design Edition,Audi,Audi A6 2,2013,50000,Diesel,Dealer,Automatic,First Owner,18.53 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5,1689999
Mercedes-Benz New C-Class 220 CDI AT,Mercedes-Benz,Mercedes-Benz New C-Class,2013,59000,Diesel,Dealer,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5,1425000
Tata Manza ELAN Quadrajet BS IV,Tata,Tata Manza ELAN,2011,120000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5,265000
Hyundai i10 Magna,Hyundai,Hyundai i10 Magna,2011,110000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,190000
Hyundai i20 Asta 1.4 CRDi,Hyundai,Hyundai i20 Asta,2013,60000,Diesel,Individual,Manual,First Owner,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5,425000
Maruti Swift Dzire ZDI,Maruti,Maruti Swift Dzire,2015,147000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,630000
Ford Figo 1.2P Titanium MT,Ford,Ford Figo 1.2P,2017,25000,Petrol,Individual,Manual,Third Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,600000
Maruti Baleno Delta 1.2,Maruti,Maruti Baleno Delta,2019,30000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,650000
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,Volkswagen,Volkswagen Ameo 1.5,2016,40000,Diesel,Individual,Manual,First Owner,22.0 kmpl,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm,5,540000
Honda City i DTEC VX,Honda,Honda City i,2015,135000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,630000
Maruti Wagon R AMT VXI,Maruti,Maruti Wagon R,2018,30000,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5,448000
Volkswagen Ameo 1.5 TDI Comfortline,Volkswagen,Volkswagen Ameo 1.5,2017,80000,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5,500000
Maruti Vitara Brezza VDi,Maruti,Maruti Vitara Brezza,2016,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,745000
Maruti Vitara Brezza ZDi Plus AMT,Maruti,Maruti Vitara Brezza,2019,9850,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,1025000
Hyundai i10 Magna,Hyundai,Hyundai i10 Magna,2011,60000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,235000
Maruti Swift VDI Deca,Maruti,Maruti Swift VDI,2016,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,630000
Toyota Fortuner 4x4 MT,Toyota,Toyota Fortuner 4x4,2015,78000,Diesel,Individual,Manual,Second Owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,1700000
Maruti Swift Star VDI,Maruti,Maruti Swift Star,2013,120000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,450000
Maruti Ertiga ZXI,Maruti,Maruti Ertiga ZXI,2012,120000,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,450000
Tata Indica DLS,Tata,Tata Indica DLS,2003,70000,Diesel,Individual,Manual,First Owner,,,,,,50000
Volkswagen Vento Diesel Highline,Volkswagen,Volkswagen Vento Diesel,2013,170000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,450000
Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,Toyota Innova 2.5,2016,140000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8,1200000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Ford,Ford EcoSport 1.5,2015,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5,610000
BMW X1 sDrive20i xLine,BMW,BMW X1 sDrive20i,2016,30000,Petrol,Individual,Automatic,Second Owner,15.71 kmpl,1998 CC,189 bhp,280Nm@ 1350-4600rpm,5,2500000
Maruti Celerio ZXI MT BSIV,Maruti,Maruti Celerio ZXI,2017,10000,Petrol,Dealer,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,484999
Datsun GO A Petrol,Datsun,Datsun GO A,2016,49000,Petrol,Dealer,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,5,275000
Maruti Alto 800 VXI BSIV,Maruti,Maruti Alto 800,2016,32000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,315000
Maruti Alto 800 LXI BSIV,Maruti,Maruti Alto 800,2016,38000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,275000
Maruti Swift VDI BSIV W ABS,Maruti,Maruti Swift VDI,2015,78000,Diesel,Dealer,Manual,First Owner,,,,,,475000
Hyundai i10 Era 1.1,Hyundai,Hyundai i10 Era,2012,28000,Petrol,Dealer,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,290000
Maruti Omni 8 Seater BSIV,Maruti,Maruti Omni 8,2017,32000,Petrol,Dealer,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5,280000
Maruti Wagon R LXI LPG BSIV,Maruti,Maruti Wagon R,2010,44000,LPG,Dealer,Manual,First Owner,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm,5,225000
Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,Volkswagen Polo 1.2,2015,42000,Petrol,Dealer,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm,5,455000
Hyundai i10 Magna 1.1L,Hyundai,Hyundai i10 Magna,2015,45000,Petrol,Dealer,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,351000
Volkswagen Vento Petrol Highline,Volkswagen,Volkswagen Vento Petrol,2012,12000,Petrol,Dealer,Manual,Second Owner,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5,535000
Maruti Zen Estilo LXI BSIII,Maruti,Maruti Zen Estilo,2009,55500,Petrol,Dealer,Manual,First Owner,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,175000
Hyundai i20 Asta Optional with Sunroof 1.2,Hyundai,Hyundai i20 Asta,2013,61500,Petrol,Dealer,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,525000
Maruti Swift Dzire LDI,Maruti,Maruti Swift Dzire,2016,150000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,600000
Hyundai Xcent 1.2 Kappa SX Option AT,Hyundai,Hyundai Xcent 1.2,2016,72000,Petrol,Dealer,Automatic,First Owner,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,565000
Maruti Alto LX BSIII,Maruti,Maruti Alto LX,2008,68000,Petrol,Dealer,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,120000
Hyundai i20 1.4 Asta Option,Hyundai,Hyundai i20 1.4,2017,110000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,725000
Maruti Wagon R VXI,Maruti,Maruti Wagon R,2009,77000,Petrol,Dealer,Manual,Second Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,185000
Tata Manza Aura (ABS) Quadrajet,Tata,Tata Manza Aura,2010,100000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5,200000
Maruti Swift VXI,Maruti,Maruti Swift VXI,2019,10000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,615000
Maruti Eeco 7 Seater Standard BSIV,Maruti,Maruti Eeco 7,2016,100000,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7,270000
Maruti Baleno Zeta 1.2,Maruti,Maruti Baleno Zeta,2018,35000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,610000
Mahindra Scorpio VLX AT AIRBAG BSIV,Mahindra,Mahindra Scorpio VLX,2014,70000,Diesel,Individual,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,625000
Ford Freestyle Titanium Petrol BSIV,Ford,Ford Freestyle Titanium,2020,5000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,1194 CC,94.68 bhp,120Nm@ 4250rpm,5,400000
Hyundai Verna VTVT 1.6 SX,Hyundai,Hyundai Verna VTVT,2017,37800,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5,866000
Volkswagen Passat 1.8 TSI MT,Volkswagen,Volkswagen Passat 1.8,2010,114000,Petrol,Individual,Manual,First Owner,14.3 kmpl,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5,700000
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,Tata,Tata Indica Vista,2010,48000,Petrol,Individual,Manual,First Owner,15.8 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm,5,300000
Mahindra XUV500 W11 Option AWD,Mahindra,Mahindra XUV500 W11,2019,32000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,155 bhp,360Nm@ 1750-2800rpm,7,1700000
Tata Indigo CS LS (TDI) BS-III,Tata,Tata Indigo CS,2016,100000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5,375000
Hyundai Verna 1.6 SX,Hyundai,Hyundai Verna 1.6,2013,150000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,522000
