Company,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine_cc,max_power_bhp,seats,selling_price
Ford,2016,60000.0,Diesel,Dealers,Manual,First Owner,3.864734299516908,1498.0,98.59,5,780000.0
Mahindra,2018,60000.0,Petrol,Individual,Manual,First Owner,5.619834710743802,1198.0,82.0,6,500000.0
Hyundai,2013,70000.0,Petrol,Individual,Manual,First Owner,4.834123222748815,814.0,55.2,5,190000.0
Maruti,2019,120000.0,others,Individual,Manual,Second Owner,3.874202370100273,1196.0,61.7,5,362000.0
Ford,2016,120000.0,Diesel,Individual,Automatic,Second Owner,8.065994500458295,3198.0,197.0,7,2280000.0
Maruti,2011,18500.0,Petrol,Individual,Manual,First Owner,5.513513513513514,1197.0,85.8,5,229999.0
Hyundai,2017,56290.0,Diesel,Dealers,Manual,First Owner,3.6666666666666665,1186.0,73.97,5,450000.0
Mahindra,2019,59872.0,Diesel,Individual,Manual,First Owner,5.513784461152882,2523.0,62.1,7,750000.0
Hyundai,2014,10000.0,Petrol,Individual,Manual,First Owner,5.483870967741935,1197.0,81.83,5,400000.0
Maruti,2017,50000.0,Diesel,Individual,Manual,Second Owner,3.098591549295775,1248.0,74.02,5,700000.0
Mahindra,2014,110000.0,Diesel,Individual,Manual,First Owner,5.827814569536424,2179.0,140.0,7,825000.0
others,2017,9000.0,Diesel,Dealers,Automatic,First Owner,6.470588235294118,1999.0,177.0,5,2711000.0
Maruti,2013,24000.0,Petrol,Individual,Manual,First Owner,4.485488126649077,796.0,47.3,5,200000.0
Mahindra,2016,60000.0,Diesel,Individual,Manual,First Owner,4.759329367225528,1493.0,100.0,7,530000.0
Mahindra,2011,100000.0,Diesel,Individual,Manual,Second Owner,6.518518518518518,2179.0,115.0,5,420000.0
Toyota,2018,12800.0,Petrol,Individual,Automatic,First Owner,5.730337078651686,1496.0,105.5,5,1080000.0
Maruti,2018,69779.0,Petrol,Dealers,Automatic,First Owner,4.636363636363637,1197.0,81.8,5,600000.0
others,2014,90000.0,Diesel,Individual,Manual,Second Owner,4.30317848410758,1461.0,83.8,5,490000.0
Mahindra,2012,80000.0,Diesel,Individual,Manual,Second Owner,4.23076923076923,1461.0,65.0,5,200000.0
Toyota,2016,68089.0,Petrol,Dealers,Automatic,First Owner,5.323590814196242,2494.0,157.7,5,2000000.0
Volkswagen,2013,90000.0,Diesel,Individual,Manual,Third Owner,3.9873130946986857,1199.0,73.9,5,280000.0
Mahindra,2013,125000.0,Diesel,Individual,Manual,Second Owner,5.513784461152882,2523.0,62.1,7,330000.0
Honda,2019,7032.0,Petrol,Dealers,Automatic,First Owner,5.368421052631579,1199.0,88.76,5,779000.0
others,2009,80000.0,Petrol,Individual,Automatic,Third Owner,9.332113449222325,3498.0,272.0,5,1000000.0
Hyundai,2017,40000.0,Petrol,Individual,Manual,First Owner,5.483870967741935,1197.0,81.83,5,610000.0
Maruti,2014,70000.0,Diesel,Individual,Manual,Second Owner,3.7606837606837606,1248.0,74.0,5,600000.0
Mahindra,2007,120000.0,Diesel,Individual,Manual,Third Owner,6.470588235294118,2523.0,63.0,7,300000.0
Mahindra,2018,20000.0,Petrol,Individual,Manual,First Owner,5.619834710743802,1198.0,82.0,6,450000.0
Tata,2011,80000.0,Diesel,Individual,Manual,First Owner,3.821102909248806,1396.0,69.0,5,220000.0
Mahindra,2015,80000.0,Diesel,Individual,Manual,First Owner,5.513784461152882,2523.0,62.1,7,375000.0
Mahindra,2013,50000.0,Diesel,Individual,Manual,First Owner,5.513784461152882,2523.0,62.1,7,500000.0
Hyundai,2017,40000.0,Diesel,Individual,Manual,First Owner,4.11599625818522,1396.0,88.7,5,1100000.0
Maruti,2009,80000.0,Petrol,Individual,Manual,First Owner,5.828571428571428,1298.0,85.8,5,250000.0
Ford,2014,113226.0,Diesel,Dealers,Manual,First Owner,4.471544715447155,1399.0,67.0,5,350000.0
others,2015,35000.0,Diesel,Dealers,Automatic,Second Owner,4.467005076142132,2143.0,134.1,5,2051000.0
Maruti,2009,60000.0,Petrol,Individual,Manual,First Owner,5.368421052631579,998.0,67.1,5,165000.0
Ford,2018,40000.0,Diesel,Individual,Manual,First Owner,3.8260869565217392,1498.0,98.96,5,950000.0
Maruti,2016,30000.0,Petrol,Individual,Manual,First Owner,4.485488126649077,796.0,47.3,5,252000.0
Maruti,2003,147000.0,Petrol,Individual,Manual,others,5.396825396825397,998.0,67.1,5,50000.0
Maruti,2018,47000.0,Petrol,Dealers,Manual,Second Owner,6.367041198501872,1373.0,93.7,7,775000.0
Maruti,2017,80000.0,Petrol,Individual,Manual,First Owner,4.92040520984081,1373.0,91.1,5,810000.0
Tata,2017,70000.0,Petrol,Individual,Manual,Third Owner,4.267782426778243,624.0,37.48,4,66000.0
Maruti,2012,80000.0,Petrol,Individual,Manual,Third Owner,4.875717017208413,998.0,67.1,5,235000.0
Skoda,2016,11000.0,Petrol,Dealers,Automatic,First Owner,7.132867132867132,1598.0,103.5,5,645000.0
