Company,Car,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine_cc,max_power_bhp,torque,seats,selling_price
Maruti,Maruti Swift Dzire,2014,145500.0,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,190Nm@ 2000rpm,5,450000.0
Skoda,Skoda Rapid 1.5,2014,120000.0,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,250Nm@ 1500-2500rpm,5,370000.0
Honda,Honda City 2017-2020,2006,140000.0,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,"12.7@ 2,700(kgm@ rpm)",5,158000.0
Hyundai,Hyundai i20 Sportz,2010,127000.0,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,22.4 kgm at 1750-2750rpm,5,225000.0
Maruti,Maruti Swift VXI,2007,120000.0,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,"11.5@ 4,500(kgm@ rpm)",5,130000.0
Hyundai,Hyundai Xcent 1.2,2017,45000.0,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,113.75nm@ 4000rpm,5,440000.0
Maruti,Maruti Wagon R,2007,175000.0,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,"7.8@ 4,500(kgm@ rpm)",5,96000.0
Maruti,Maruti 800 DX,2001,5000.0,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4,45000.0
Toyota,Toyota Etios VXD,2011,90000.0,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,170Nm@ 1800-2400rpm,5,350000.0
Ford,Ford Figo Diesel,2013,169000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,160Nm@ 2000rpm,5,200000.0
Renault,Renault Duster 110PS,2014,68000.0,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,248Nm@ 2250rpm,5,500000.0
Maruti,Maruti Zen LX,2005,100000.0,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,78Nm@ 4500rpm,5,92000.0
Maruti,Maruti Swift Dzire,2009,140000.0,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190Nm@ 2000rpm,5,280000.0
Maruti,Maruti Swift 1.3,2007,80000.0,Petrol,Individual,Manual,Second Owner,,,,,,200000.0
Maruti,Maruti Wagon R,2009,90000.0,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,84Nm@ 3500rpm,5,180000.0
Mahindra,Mahindra KUV 100,2016,40000.0,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,115Nm@ 3500-3600rpm,5,400000.0
Maruti,Maruti Ertiga SHVS,2016,70000.0,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,200Nm@ 1750rpm,7,778000.0
Hyundai,Hyundai i20 1.4,2012,53000.0,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,22.4 kgm at 1750-2750rpm,5,500000.0
Maruti,Maruti Alto LX,2002,80000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5,150000.0
Hyundai,Hyundai i20 2015-2017,2016,100000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7Nm@ 1500-2750rpm,5,680000.0
Mahindra,Mahindra Verito 1.5,2011,100000.0,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,160Nm@ 2000rpm,5,174000.0
Honda,Honda WR-V i-DTEC,2017,50000.0,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,200Nm@ 1750rpm,5,950000.0
Maruti,Maruti Swift Dzire,2015,40000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5,525000.0
Maruti,Maruti SX4 ZDI,2012,72000.0,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,200Nm@ 1750rpm,5,600000.0
Tata,Tata Tigor 2017-2020,2018,35000.0,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,114Nm@ 3500rpm,5,500000.0
Maruti,Maruti Baleno Delta,2016,45000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115Nm@ 4000rpm,5,575000.0
Maruti,Maruti Alto 800,2017,28000.0,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,69Nm@ 3500rpm,5,275000.0
Chevrolet,Chevrolet Enjoy TCDi,2013,70000.0,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,172.5Nm@ 1750rpm,7,300000.0
Maruti,Maruti Wagon R,2009,120000.0,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,84Nm@ 3500rpm,5,220000.0
Maruti,Maruti Omni E,2018,25000.0,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,59Nm@ 2500rpm,8,254999.0
Maruti,Maruti Vitara Brezza,2017,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5,670000.0
Fiat,Fiat Palio 1.2,2003,50000.0,Petrol,Individual,Manual,Second Owner,,,,,,70000.0
Maruti,Maruti Omni 8,2012,35000.0,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,6.1kgm@ 3000rpm,5,150000.0
Hyundai,Hyundai i20 1.2,2018,2388.0,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5,730000.0
Maruti,Maruti Vitara Brezza,2017,16200.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5,650000.0
Maruti,Maruti Alto 800,2019,10000.0,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,60Nm@ 3500rpm,4,330000.0
Maruti,Maruti Alto K10,2019,15000.0,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,90Nm@ 3500rpm,5,366000.0
Hyundai,Hyundai Verna VTVT,2019,5000.0,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,151Nm@ 4850rpm,5,1149000.0
Datsun,Datsun GO D,2016,42000.0,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,104Nm@ 4000rpm,5,150000.0
Tata,Tata Safari DICOR,2011,60000.0,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,320Nm@ 1700-2700rpm,7,425000.0
Maruti,Maruti 800 Std,2012,76000.0,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4,150000.0
Jeep,Jeep Compass 1.4,2019,5000.0,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,250Nm@ 1750-2500rpm,5,2100000.0
Honda,Honda City i,2018,28900.0,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,145Nm@ 4600rpm,5,925000.0
Honda,Honda City V,2013,86300.0,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,146Nm@ 4800rpm,5,425000.0
Maruti,Maruti Swift Dzire,2018,23300.0,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,115Nm@ 4000rpm,5,675000.0
Maruti,Maruti Vitara Brezza,2018,32600.0,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5,819999.0
Maruti,Maruti Alto K10,2018,10300.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,90Nm@ 3500rpm,5,390000.0
Toyota,Toyota Fortuner 4x4,2014,77000.0,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,343Nm@ 1400-3400rpm,7,1500000.0
Toyota,Toyota Innova 2.5,2013,99000.0,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,200Nm@ 1400-3400rpm,7,700000.0
