Company,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine_cc,max_power_bhp,seats,selling_price
Maruti,2014,145500.0,Diesel,Individual,Manual,First Owner,3.7606837606837606,1248.0,74.0,5,450000.0
Skoda,2014,120000.0,Diesel,Individual,Manual,Second Owner,4.162724692526017,1498.0,103.52,5,370000.0
Honda,2006,140000.0,Petrol,Individual,Manual,Third Owner,5.762711864406779,1497.0,78.0,5,158000.0
Hyundai,2010,127000.0,Diesel,Individual,Manual,First Owner,3.8260869565217392,1396.0,90.0,5,225000.0
Maruti,2007,120000.0,Petrol,Individual,Manual,First Owner,6.335403726708074,1298.0,88.2,5,130000.0
Hyundai,2017,45000.0,Petrol,Individual,Manual,First Owner,5.06454816285998,1197.0,81.86,5,440000.0
Maruti,2007,175000.0,others,Individual,Manual,First Owner,4.913294797687861,1061.0,57.5,5,96000.0
Maruti,2001,5000.0,Petrol,Individual,Manual,Second Owner,6.335403726708074,796.0,37.0,4,45000.0
Toyota,2011,90000.0,Diesel,Individual,Manual,First Owner,3.7303942348452734,1364.0,67.1,5,350000.0
Ford,2013,169000.0,Diesel,Individual,Manual,First Owner,4.4,1399.0,68.1,5,200000.0
Renault,2014,68000.0,Diesel,Individual,Manual,Second Owner,4.629142556549184,1461.0,108.45,5,500000.0
Maruti,2005,100000.0,Petrol,Individual,Manual,Second Owner,5.895953757225433,993.0,60.0,5,92000.0
Maruti,2009,140000.0,Diesel,Individual,Manual,Second Owner,4.559585492227979,1248.0,73.9,5,280000.0
Maruti,2009,90000.0,Petrol,Individual,Manual,Second Owner,5.396825396825397,1061.0,67.0,5,180000.0
Mahindra,2016,40000.0,Petrol,Individual,Manual,First Owner,5.619834710743802,1198.0,82.0,5,400000.0
Maruti,2016,70000.0,Diesel,Individual,Manual,Second Owner,3.5889070146818924,1248.0,88.5,7,778000.0
Hyundai,2012,53000.0,Diesel,Individual,Manual,Second Owner,3.8260869565217392,1396.0,90.0,5,500000.0
Maruti,2002,80000.0,Petrol,Individual,Manual,Second Owner,5.177664974619289,796.0,46.3,5,150000.0
Hyundai,2016,100000.0,Diesel,Individual,Manual,First Owner,3.904170363797693,1396.0,88.73,5,680000.0
Mahindra,2011,100000.0,Diesel,Individual,Manual,Second Owner,4.19047619047619,1461.0,64.1,5,174000.0
Honda,2017,50000.0,Diesel,Individual,Manual,First Owner,3.450980392156863,1498.0,98.6,5,950000.0
Maruti,2015,40000.0,Diesel,Individual,Manual,First Owner,3.3095148552087252,1248.0,74.0,5,525000.0
Maruti,2012,72000.0,Diesel,Individual,Manual,First Owner,4.093023255813954,1248.0,88.8,5,600000.0
Tata,2018,35000.0,Petrol,Individual,Manual,First Owner,5.024630541871921,1199.0,83.81,5,500000.0
Maruti,2016,45000.0,Petrol,Individual,Manual,First Owner,4.766355140186916,1197.0,83.1,5,575000.0
Maruti,2017,28000.0,Petrol,Individual,Manual,First Owner,4.129554655870446,796.0,47.3,5,275000.0
Chevrolet,2013,70000.0,Diesel,Individual,Manual,First Owner,4.835164835164835,1248.0,73.8,7,300000.0
Maruti,2009,120000.0,Petrol,Individual,Manual,First Owner,5.396825396825397,1061.0,67.0,5,220000.0
Maruti,2018,25000.0,Petrol,Individual,Manual,First Owner,6.071428571428571,796.0,34.2,8,254999.0
Maruti,2017,70000.0,Diesel,Individual,Manual,First Owner,3.6213991769547325,1248.0,88.5,5,670000.0
Maruti,2012,35000.0,Petrol,Individual,Manual,Second Owner,7.285714285714286,796.0,35.0,5,150000.0
Hyundai,2018,2388.0,Petrol,Individual,Manual,First Owner,5.483870967741935,1197.0,81.83,5,730000.0
Maruti,2017,16200.0,Diesel,Individual,Manual,First Owner,3.6213991769547325,1248.0,88.5,5,650000.0
Maruti,2019,10000.0,others,Individual,Manual,Second Owner,2.5418660287081343,796.0,40.3,4,330000.0
Maruti,2019,15000.0,Petrol,Individual,Manual,First Owner,4.258872651356993,998.0,67.1,5,366000.0
Hyundai,2019,5000.0,Petrol,Individual,Manual,First Owner,6.0,1591.0,121.3,5,1149000.0
