Company,Car,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine_cc,max_power_bhp,torque,seats,selling_price
Maruti,Maruti Swift 1.3,2007,80000.0,Petrol,Individual,Manual,Second Owner,,,,,,200000.0
Fiat,Fiat Palio 1.2,2003,50000.0,Petrol,Individual,Manual,Second Owner,,,,,,70000.0
Tata,Tata Indica DLS,2003,70000.0,Diesel,Individual,Manual,First Owner,,,,,,50000.0
Maruti,Maruti Swift VDI,2015,78000.0,Diesel,Dealer,Manual,First Owner,,,,,,475000.0
Maruti,Maruti Swift VDI,2010,120000.0,Diesel,Individual,Manual,Second Owner,,,,,,300000.0
BMW,BMW X1 sDrive,2017,27000.0,Diesel,Dealer,Automatic,First Owner,,,,,,2150000.0
Toyota,Toyota Etios GD,2012,120000.0,Diesel,Individual,Manual,First Owner,,,,,,235000.0
Maruti,Maruti Omni E,2003,90000.0,Petrol,Individual,Manual,Second Owner,,,,,,40000.0
Maruti,Maruti Swift 1.3,2008,120000.0,Petrol,Individual,Manual,Second Owner,,,,,,130000.0
Tata,Tata Indica DLS,2005,110000.0,Diesel,Individual,Manual,Second Owner,,,,,,75000.0
Maruti,Maruti Swift 1.3,2010,70000.0,Petrol,Individual,Manual,Second Owner,,,,,,215000.0
Mahindra,Mahindra Willys CJ,1983,10000.0,Diesel,Individual,Manual,Third Owner,,,,,,300000.0
Hyundai,Hyundai Santro Xing,2005,60000.0,Petrol,Individual,Manual,Second Owner,,,,,,85000.0
Toyota,Toyota Etios Liva,2012,162000.0,Diesel,Individual,Manual,Third Owner,,,,,,265000.0
Maruti,Maruti Swift VDI,2010,110000.0,Diesel,Individual,Manual,Second Owner,,,,,,330000.0
Maruti,Maruti Estilo LXI,2010,50000.0,Petrol,Individual,Manual,First Owner,,,,,,160000.0
Maruti,Maruti Swift VDI,2008,50000.0,Diesel,Individual,Manual,Third Owner,,,,,,229999.0
Maruti,Maruti Alto K10,2011,97500.0,Petrol,Individual,Manual,First Owner,,,0.0,,,204999.0
Maruti,Maruti Alto K10,2011,97500.0,Petrol,Individual,Manual,First Owner,,,0.0,,,204999.0
Hyundai,Hyundai Santro Xing,2006,110000.0,Petrol,Individual,Manual,Second Owner,,,,,,72000.0
Toyota,Toyota Etios GD,2012,120000.0,Diesel,Individual,Manual,Second Owner,,,,,,300000.0
Maruti,Maruti Swift 1.3,2006,65000.0,Petrol,Individual,Manual,Third Owner,,,,,,140000.0
Mahindra,Mahindra Bolero GLX,2004,80000.0,Diesel,Individual,Manual,Third Owner,,,,,,250000.0
Maruti,Maruti Zen Estilo,2011,55113.0,Petrol,Individual,Manual,First Owner,,,,,,170000.0
Hyundai,Hyundai Santro Xing,2003,80000.0,Petrol,Individual,Manual,Second Owner,,,,,,50000.0
Hyundai,Hyundai Santro GLS,1999,110000.0,Petrol,Individual,Manual,Second Owner,,,,,,80000.0
Skoda,Skoda Superb 1.8,2010,60000.0,Petrol,Individual,Automatic,Second Owner,,,,,,400000.0
Maruti,Maruti Esteem Vxi,2005,60000.0,Petrol,Individual,Manual,Third Owner,,,,,,50000.0
Mahindra,Mahindra Xylo E8,2010,40000.0,Diesel,Individual,Manual,First Owner,,,,,,300000.0
Fiat,Fiat Punto 1.3,2013,160254.0,Diesel,Dealer,Manual,Second Owner,,,,,,350000.0
Toyota,Toyota Qualis Fleet,2000,100000.0,Diesel,Individual,Manual,First Owner,,,,,,200000.0
Hyundai,Hyundai Santro GLS,2004,90000.0,Petrol,Individual,Manual,Third Owner,,,,,,90000.0
Hyundai,Hyundai Santro Xing,2004,80000.0,Petrol,Individual,Automatic,Third Owner,,,,,,80000.0
Toyota,Toyota Etios Liva,2012,80000.0,Diesel,Individual,Manual,First Owner,,,,,,300000.0
Maruti,Maruti Zen Estilo,2011,40000.0,Petrol,Individual,Manual,First Owner,,,,,,200000.0
Maruti,Maruti Omni BSIII,2009,90000.0,Petrol,Individual,Manual,Third Owner,,,,,,140000.0
Maruti,Maruti Swift VDI,2008,90000.0,Diesel,Individual,Manual,Second Owner,,,,,,250000.0
Mahindra,Mahindra Jeep Classic,1996,5000.0,Diesel,Individual,Manual,Second Owner,,,,,,163000.0
Hyundai,Hyundai Santro GS,2004,120000.0,Petrol,Individual,Manual,Second Owner,,,,,,60000.0
Maruti,Maruti Swift 1.3,2008,60000.0,Petrol,Individual,Manual,First Owner,,,,,,240000.0
Maruti,Maruti Swift VDI,2010,120000.0,Diesel,Individual,Manual,Second Owner,,,,,,315000.0
Mahindra,Mahindra Ingenio CRDe,2017,60000.0,Diesel,Individual,Manual,First Owner,,,,,,600000.0
Maruti,Maruti Swift VDI,2016,72000.0,Diesel,Dealer,Manual,First Owner,,,,,,565000.0
Mahindra,Mahindra Jeep CL,1994,100000.0,Diesel,Individual,Manual,Second Owner,,,,,,120000.0
Maruti,Maruti Swift Dzire,2017,41232.0,Diesel,Dealer,Manual,First Owner,,,0.0,,,589000.0
Maruti,Maruti Swift Dzire,2017,41232.0,Diesel,Dealer,Manual,First Owner,,,0.0,,,589000.0
Hyundai,Hyundai Santro Xing,2006,118000.0,Petrol,Individual,Manual,First Owner,,,,,,80000.0
Maruti,Maruti Omni E,2012,60000.0,Petrol,Individual,Manual,Third Owner,,,,,,175000.0
Toyota,Toyota Etios Liva,2012,80000.0,Diesel,Individual,Manual,Second Owner,,,,,,285000.0
Toyota,Toyota Etios Liva,2012,80000.0,Diesel,Individual,Manual,Second Owner,,,,,,280000.0
Maruti,Maruti Swift VDI,2011,77000.0,Diesel,Individual,Manual,Second Owner,,,,,,290000.0
Maruti,Maruti Swift 1.3,2007,70000.0,Petrol,Individual,Manual,Third Owner,,,,,,150000.0
Tata,Tata Indica Vista,2013,120000.0,Diesel,Individual,Manual,Second Owner,,,,,,130000.0
Mahindra,Mahindra Jeep MM,1995,90000.0,Diesel,Individual,Manual,Third Owner,,,,,,160000.0
Maruti,Maruti Omni E,2011,70000.0,Petrol,Individual,Manual,Third Owner,,,,,,190000.0
Maruti,Maruti Estilo LXI,2010,132000.0,Petrol,Individual,Manual,Second Owner,,,,,,135000.0
Toyota,Toyota Etios GD,2011,90000.0,Diesel,Individual,Manual,Third Owner,,,,,,400000.0
Maruti,Maruti Esteem Vxi,2005,120000.0,Petrol,Individual,Manual,Third Owner,,,,,,93000.0
Hyundai,Hyundai Santro GS,2001,71000.0,Petrol,Individual,Manual,Second Owner,,,,,,60000.0
Hyundai,Hyundai Santro LP,2002,80000.0,Petrol,Individual,Manual,Third Owner,,,,,,75000.0
Hyundai,Hyundai Santro Xing,2007,137000.0,CNG,Individual,Manual,First Owner,,,,,,127000.0
Tata,Tata Sumo EX,2012,190000.0,Diesel,Individual,Manual,Third Owner,,,,,,254999.0
Hyundai,Hyundai Santro GS,2002,120000.0,Petrol,Individual,Manual,Fourth & Above Owner,,,,,,100000.0
Maruti,Maruti Swift VDI,2011,85000.0,Diesel,Individual,Manual,First Owner,,,,,,280000.0
Tata,Tata Indica Vista,2012,80000.0,Diesel,Individual,Manual,Second Owner,,,,,,200000.0
Tata,Tata Indica Vista,2012,160000.0,Diesel,Individual,Manual,Second Owner,,,,,,120000.0
Hyundai,Hyundai Santro Xing,2007,60000.0,CNG,Individual,Manual,Second Owner,,,,,,120000.0
