,Car,Company,fuel,seller_type,transmission,owner,year,km_driven,mileage,engine_cc,max_power_bhp,seats
0,Ambassador CLASSIC 1500,Ambassador,Diesel,Individual,Manual,Second Owner,2000.0,90000.0,12.8,1489.0,35.5,5.0
1,Ambassador Classic 2000,Ambassador,Diesel,Individual,Manual,Second Owner,1994.0,100000.0,12.8,1995.0,52.0,5.0
2,Ambassador Grand 1500,Ambassador,Diesel,Individual,Manual,Second Owner,2008.0,60000.0,12.8,1995.0,52.0,5.0
3,Ambassador Grand 2000,Ambassador,Diesel,Individual,Manual,Third Owner,2008.0,80000.0,13.5,1995.0,52.0,5.0
4,Ashok Leyland Stile,Ashok,Diesel,Individual,Manual,Second Owner,2013.0,200000.0,20.07,1461.0,75.0,8.0
5,Audi A3 35,Audi,Diesel,Individual,Automatic,First Owner,2017.5,45000.0,20.38,1968.0,143.0,5.0
6,Audi A3 40,Audi,Petrol,Dealer,Automatic,First Owner,2017.0,8000.0,16.6,1798.0,177.5,5.0
7,Audi A4 1.8,Audi,Petrol,Individual,Automatic,Second Owner,2010.0,55000.0,12.3,1781.0,163.2,5.0
8,Audi A4 2,Audi,Diesel,Individual,Automatic,First Owner,2014.0,60000.0,16.55,1968.0,147.51,5.0
9,Audi A4 35,Audi,Diesel,Dealer,Automatic,First Owner,2016.0,33500.0,18.25,1968.0,187.74,5.0
10,Audi A6 2,Audi,Diesel,Dealer,Automatic,Second Owner,2013.0,42500.0,17.68,1968.0,174.33,5.0
11,Audi A6 35,Audi,Petrol,Dealer,Automatic,Test Drive Car,2019.0,11500.0,15.26,1798.0,187.74,5.0
12,Audi Q3 2,Audi,Diesel,Dealer,Automatic,First Owner,2016.5,26000.0,15.73,1968.0,174.33,5.0
13,Audi Q3 35,Audi,Diesel,Dealer,Automatic,First Owner,2018.0,25500.0,15.45,1968.0,177.66500000000002,5.0
14,Audi Q5 2,Audi,Diesel,Individual,Automatic,First Owner,2011.0,120000.0,12.8,1968.0,167.6,5.0
15,Audi Q5 3,Audi,Diesel,Individual,Automatic,First Owner,2014.0,76131.0,13.22,2967.0,241.4,5.0
