name,Company,Car,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine_cc,max_power_bhp,seats,selling_price,max_torque,at_rpm
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2014,145500,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 ,74 ,5.0,450000,190Nm, 2000rpm
Skoda Rapid 1.5 TDI Ambition,Skoda,Skoda Rapid 1.5,2014,120000,Diesel,Individual,Manual,Second Owner,21.14 kmpl,1498 ,103.52 ,5.0,370000,250Nm, 1500-2500rpm
Honda City 2017-2020 EXi,Honda,Honda City 2017-2020,2006,140000,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 ,78 ,5.0,158000,12.7," 2,700(kgm@ rpm)"
Hyundai i20 Sportz Diesel,Hyundai,Hyundai i20 Sportz,2010,127000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 ,90 ,5.0,225000,22.4 kgm ,t 1750-2750rpm
Maruti Swift VXI BSIII,Maruti,Maruti Swift VXI,2007,120000,Petrol,Individual,Manual,First Owner,16.1 kmpl,1298 ,88.2 ,5.0,130000,11.5," 4,500(kgm@ rpm)"
Hyundai Xcent 1.2 VTVT E Plus,Hyundai,Hyundai Xcent 1.2,2017,45000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 ,81.86 ,5.0,440000,113.75nm, 4000rpm
Maruti Wagon R LXI DUO BSIII,Maruti,Maruti Wagon R,2007,175000,LPG,Individual,Manual,First Owner,17.3 km/kg,1061 ,57.5 ,5.0,96000,7.8," 4,500(kgm@ rpm)"
Maruti 800 DX BSII,Maruti,Maruti 800 DX,2001,5000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 ,37 ,4.0,45000,59Nm, 2500rpm
Toyota Etios VXD,Toyota,Toyota Etios VXD,2011,90000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 ,67.1 ,5.0,350000,170Nm, 1800-2400rpm
Ford Figo Diesel Celebration Edition,Ford,Ford Figo Diesel,2013,169000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 ,68.1 ,5.0,200000,160Nm, 2000rpm
Renault Duster 110PS Diesel RxL,Renault,Renault Duster 110PS,2014,68000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 ,108.45 ,5.0,500000,248Nm, 2250rpm
